FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
L5A,8.242,10070.0,10365.0,1420.0,8825.0,21045.0,20190.0,41.2,80000.0,17270.0,47406.0,2915.0,415.0,5751.7592817277355
L5B,10.399,20680.0,13720.0,1410.0,13080.0,30545.0,29550.0,37.2,79000.0,24955.0,67131.0,4600.0,375.0,6455.524569670161
L5C,12.3848,6460.0,6705.0,810.0,5360.0,13150.0,12405.0,42.8,102000.0,10430.0,29284.0,1975.0,235.0,2364.511336476972
L5E,8.0467,2805.0,3125.0,300.0,2640.0,6025.0,5485.0,45.2,98000.0,4815.0,12972.0,665.0,170.0,1612.0894279642587
L5G,7.2303,5320.0,4575.0,450.0,4270.0,10090.0,8835.0,45.2,95000.0,7715.0,20714.0,1125.0,220.0,2864.8880406068906
L5H,11.3873,5345.0,3605.0,250.0,3820.0,8655.0,7095.0,46.4,139000.0,5890.0,17409.0,1205.0,140.0,1528.8084093683315
L5J,17.8669,6695.0,6080.0,750.0,5805.0,13225.0,12360.0,43.2,107000.0,10820.0,28208.0,1545.0,335.0,1578.78535168384
L5K,6.0875,3210.0,2785.0,320.0,2580.0,5710.0,5415.0,41.6,102000.0,4550.0,13363.0,860.0,115.0,2195.154004106776
L5L,18.1864,10055.0,9560.0,935.0,8680.0,19175.0,18330.0,44.0,110000.0,15410.0,43585.0,2920.0,390.0,2396.571064091849
L5M,24.9887,33975.0,22665.0,2440.0,19765.0,49435.0,45845.0,39.6,118000.0,37825.0,106468.0,8020.0,465.0,4260.645811906982
L5N,32.8959,22200.0,20795.0,2305.0,16600.0,41920.0,40715.0,40.4,123000.0,35030.0,83700.0,5685.0,720.0,2544.3900303685264
L5R,9.3291,10075.0,8080.0,1065.0,6710.0,16830.0,16325.0,42.0,99000.0,13610.0,37022.0,2715.0,210.0,3968.442829426204
L5S,5.9959,,,,,,,,,,27.0,,,4.503077102686836
L5T,11.9677,,,,,,,,,,19.0,,,1.5876066412092549
L5V,11.9662,13830.0,11810.0,1340.0,8235.0,23335.0,22480.0,39.6,126000.0,18630.0,49149.0,3850.0,235.0,4107.318948371246
L5W,15.6487,6880.0,6470.0,640.0,3915.0,12090.0,11535.0,37.6,142000.0,9635.0,24145.0,1895.0,140.0,1542.939669109894
